Date,Close,Volume,달러(원),위안(원)
2023-07-31,1965.52,124338,1274.6,178.34
2023-08-01,1944.19,137730,1283.8,178.96
2023-08-02,1934.87,138045,1298.5,180.36
2023-08-03,1933.98,143999,1299.1,180.33
2023-08-04,1942.65,131485,1309.8,182.21
2023-08-07,1936.52,84513,1306.2,181.32
2023-08-08,1925.22,117058,1315.7,182.1
2023-08-09,1914.7,104727,1315.7,182.23
2023-08-10,1912.33,138980,1316.0,182.14
2023-08-11,1913.62,106435,1324.9,182.86
2023-08-14,1907.42,110592,1330.9,182.85
2023-08-15,1901.85,149099,0.0,0.0
2023-08-16,1891.92,115345,1336.9,182.77
2023-08-17,1889.33,132708,1342.0,182.91
2023-08-18,1889.37,109839,1338.3,183.26
2023-08-21,1894.67,124492,1342.6,183.1
2023-08-22,1897.38,111168,1335.5,183.42
2023-08-23,1915.38,130444,1339.7,183.61
2023-08-24,1916.69,123400,1322.6,181.46
2023-08-25,1914.21,132875,1325.2,181.83
2023-08-28,1920.06,88149,1323.4,181.43
2023-08-29,1937.32,126706,1321.9,181.23
2023-08-30,1942.42,120052,1323.4,181.31
2023-08-31,1940.06,92454,1321.8,181.17
2023-09-01,1939.85,138713,1318.8,181.48
2023-09-04,1938.47,44777,1319.8,181.57
2023-09-05,1925.97,112965,1330.6,182.25
2023-09-06,1916.42,117181,1330.5,182.11
2023-09-07,1919.62,98719,1335.4,182.12
2023-09-08,1919.13,98258,1333.4,181.27
2023-09-11,1922.33,101764,1331.1,182.25
2023-09-12,1913.34,103458,1327.8,181.59
2023-09-13,1908.15,127183,1330.0,181.37
2023-09-14,1910.51,148428,1325.7,182.26
2023-09-15,1923.68,122561,1325.9,182.34
2023-09-18,1933.61,98507,1324.4,181.79
2023-09-19,1931.34,87297,1328.5,181.92
2023-09-20,1930.36,136227,1330.1,182.0
2023-09-21,1919.94,143289,1339.7,183.28
2023-09-22,1925.25,96528,1336.8,183.02
2023-09-25,1915.78,87820,1336.5,182.73
2023-09-26,1900.58,98343,1348.5,184.49
2023-09-27,1874.99,115520,1349.3,184.64
2023-09-28,1864.8,147185,0.0,0.0
2023-09-29,1848.74,147432,0.0,0.0
2023-10-02,1827.77,154232,0.0,0.0
2023-10-03,1822.94,192166,0.0,0.0
2023-10-04,1821.1,181931,1363.5,185.97
2023-10-05,1820.24,163563,1350.5,184.53
2023-10-06,1831.84,200926,1349.9,184.57
2023-10-09,1861.35,155242,0.0,0.0
2023-10-10,1860.42,204264,1349.5,185.15
2023-10-11,1874.27,193115,1338.7,183.58
2023-10-12,1868.73,190851,1338.5,183.41
2023-10-13,1932.41,213189,1350.0,184.77
2023-10-16,1920.06,158254,1353.7,185.13
2023-10-17,1923.05,161186,1353.6,184.99
2023-10-18,1947.62,189497,1349.6,184.5
2023-10-19,1974.28,207173,1357.4,185.2
2023-10-20,1980.9,198269,1352.4,184.33
2023-10-23,1972.74,173905,1353.7,184.8
2023-10-24,1971.03,169310,1343.1,183.77
2023-10-25,1979.45,162589,1349.7,184.47
2023-10-26,1984.73,190268,1360.0,185.55
2023-10-27,2005.91,179975,1355.9,184.92
2023-10-30,1996.15,161808,1350.9,184.43
2023-10-31,1983.97,176258,1350.5,184.19
2023-11-01,1982.67,184940,1357.3,184.05
2023-11-02,1985.77,153635,1342.9,183.18
2023-11-03,1992.52,188442,1322.4,180.59
2023-11-06,1977.82,141325,1297.3,178.05
2023-11-07,1969.03,160213,1307.9,179.54
2023-11-08,1950.2,153457,1310.6,179.92
2023-11-09,1958.41,174088,1310.1,179.68
2023-11-10,1938.62,159481,1316.8,180.34
2023-11-13,1946.1,127010,1325.1,181.31
2023-11-14,1963.16,138881,1328.9,182.02
2023-11-15,1959.19,142869,1300.8,179.45
2023-11-16,1981.1,132847,1296.9,178.66
2023-11-17,1980.56,132680,1296.9,178.81
2023-11-20,1977.65,148166,1291.6,179.76
